,Respondent,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith
0,10,Github,Github
1,10,,Microsoft Teams
2,10,Microsoft Teams,
4,33,Github,Confluence
5,33,,Github
6,33,,Gitlab
7,33,,"Google Suite (Docs, Meet, etc)"
8,33,,Jira
9,33,,Slack
10,33,,Stack Overflow for Teams
11,33,Slack,
18,33,"Google Suite (Docs, Meet, etc)",
25,33,Stack Overflow for Teams,
32,42,Confluence,Confluence
33,42,,Github
34,42,,Gitlab
35,42,,"Google Suite (Docs, Meet, etc)"
36,42,,Jira
37,42,,Slack
38,42,,Trello
39,42,Jira,
46,42,Gitlab,
53,47,Github,Confluence
54,47,,Github
55,47,,Gitlab
56,47,,"Google Suite (Docs, Meet, etc)"
57,47,,Jira
58,47,,Microsoft Azure
59,47,Gitlab,
65,69,Github,Confluence
66,69,,Github
67,69,,"Google Suite (Docs, Meet, etc)"
68,69,,Jira
69,69,,Slack
70,69,Slack,
75,69,"Google Suite (Docs, Meet, etc)",
80,80,Confluence,Confluence
81,80,,Github
82,80,,Gitlab
83,80,,Microsoft Azure
84,80,Github,
88,80,Gitlab,
92,80,Microsoft Teams,
96,80,Microsoft Azure,
100,96,Github,Github
101,96,,Slack
102,96,Slack,
104,119,Github,Confluence
105,119,,Github
106,119,,Gitlab
107,119,,"Google Suite (Docs, Meet, etc)"
108,119,,Jira
109,119,,Microsoft Azure
110,119,,Trello
111,119,Microsoft Azure,
118,123,Confluence,Confluence
119,123,,Github
120,123,,Gitlab
121,123,,"Google Suite (Docs, Meet, etc)"
122,123,,Jira
123,123,,Microsoft Teams
124,123,,Slack
125,123,Jira,
132,123,Github,
139,123,Slack,
146,128,Slack,"Google Suite (Docs, Meet, etc)"
147,128,,Microsoft Azure
148,128,,Slack
149,128,"Google Suite (Docs, Meet, etc)",
152,131,Github,Confluence
153,131,,Github
154,131,,Jira
155,131,,Slack
156,131,Slack,
160,151,Github,Github
161,151,,Gitlab
162,151,,"Google Suite (Docs, Meet, etc)"
163,151,,Jira
164,151,,Trello
165,151,Gitlab,
170,151,Slack,
175,151,Trello,
180,151,"Google Suite (Docs, Meet, etc)",
185,158,Jira,Github
186,158,,Gitlab
187,158,,"Google Suite (Docs, Meet, etc)"
188,158,,Jira
189,158,,Microsoft Azure
190,158,,Slack
191,158,Github,
197,158,Slack,
203,158,Microsoft Azure,
209,158,"Google Suite (Docs, Meet, etc)",
215,161,Jira,Github
216,161,,Gitlab
217,161,,"Google Suite (Docs, Meet, etc)"
218,161,,Jira
219,161,,Slack
220,161,Github,
225,161,Gitlab,
230,161,Slack,
235,161,"Google Suite (Docs, Meet, etc)",
240,167,Jira,Github
241,167,,Gitlab
242,167,,Jira
243,167,,Microsoft Teams
244,167,Gitlab,
248,167,Microsoft Teams,
252,167,Stack Overflow for Teams,
256,170,Jira,Facebook Workplace
257,170,,Github
258,170,,Gitlab
259,170,Github,
262,170,Gitlab,
265,170,Microsoft Azure,
268,179,Github,Confluence
269,179,,Github
270,179,,Gitlab
271,179,,Jira
272,179,,Microsoft Azure
273,179,,Microsoft Teams
274,179,,Slack
275,179,Slack,
282,187,Confluence,Confluence
283,187,,Github
284,187,,Jira
285,187,,Microsoft Teams
286,187,Jira,
290,187,Github,
294,187,Microsoft Teams,
298,195,Github,Github
299,195,,Gitlab
300,195,,"Google Suite (Docs, Meet, etc)"
301,195,,Microsoft Teams
302,195,,Slack
303,195,Gitlab,
