Respondent,DatabaseDesireNextYear,DatabaseWorkedWith
10,Microsoft SQL Server,Microsoft SQL Server
33,MongoDB,MongoDB
33,,MySQL
33,,PostgreSQL
33,,SQLite
42,Cassandra,Microsoft SQL Server
42,,MySQL
42,,Oracle
42,,Redis
42,DynamoDB,
42,MongoDB,
47,PostgreSQL,Microsoft SQL Server
47,,Oracle
47,,PostgreSQL
47,,SQLite
47,SQLite,
69,PostgreSQL,MongoDB
80,Microsoft SQL Server,Elasticsearch
80,,Microsoft SQL Server
80,,MySQL
80,MySQL,
96,MongoDB,MongoDB
96,,Redis
96,Redis,
119,Redis,DynamoDB
119,,MariaDB
119,,PostgreSQL
123,Cassandra,Cassandra
123,Firebase,
123,MongoDB,
123,PostgreSQL,
123,Redis,
128,Microsoft SQL Server,Microsoft SQL Server
128,,MySQL
128,MySQL,
131,MongoDB,MySQL
131,PostgreSQL,
131,Redis,
151,Elasticsearch,MySQL
151,Firebase,
151,MongoDB,
151,MySQL,
151,SQLite,
158,Elasticsearch,Microsoft SQL Server
158,,MySQL
158,,PostgreSQL
158,,Redis
158,Firebase,
158,PostgreSQL,
158,Redis,
161,DynamoDB,Elasticsearch
161,,MariaDB
161,,MongoDB
161,,MySQL
161,,Oracle
161,,Redis
161,,SQLite
161,Elasticsearch,
161,MariaDB,
161,Microsoft SQL Server,
161,MySQL,
161,Redis,
161,SQLite,
167,Elasticsearch,MariaDB
167,,MongoDB
167,,MySQL
167,,Oracle
167,Firebase,
167,MariaDB,
167,MongoDB,
167,MySQL,
170,MySQL,Elasticsearch
170,,Firebase
170,,MySQL
170,,PostgreSQL
170,,SQLite
170,PostgreSQL,
170,Redis,
179,MongoDB,Firebase
179,,Microsoft SQL Server
179,,PostgreSQL
179,,Redis
187,MongoDB,Microsoft SQL Server
187,,MongoDB
187,PostgreSQL,
195,DynamoDB,Elasticsearch
195,,PostgreSQL
195,,Redis
195,Elasticsearch,
195,PostgreSQL,
195,Redis,
200,Microsoft SQL Server,Microsoft SQL Server
200,,MySQL
200,MySQL,
200,Redis,
205,Microsoft SQL Server,Microsoft SQL Server
207,Elasticsearch,DynamoDB
207,,Elasticsearch
207,,PostgreSQL
207,,Redis
207,PostgreSQL,
207,Redis,
214,Microsoft SQL Server,Microsoft SQL Server
214,,Redis
214,Redis,
215,Elasticsearch,MySQL
215,MySQL,
215,Redis,
216,Elasticsearch,Elasticsearch
216,,MongoDB
216,,Redis
216,MongoDB,
216,PostgreSQL,
216,Redis,
233,Microsoft SQL Server,Microsoft SQL Server
233,,SQLite
233,SQLite,
242,MongoDB,PostgreSQL
242,PostgreSQL,
255,DynamoDB,DynamoDB
255,,Elasticsearch
255,,MariaDB
255,,Microsoft SQL Server
255,,MySQL
255,,PostgreSQL
255,,Redis
255,Elasticsearch,
255,MariaDB,
255,MySQL,
255,PostgreSQL,
255,Redis,
256,Elasticsearch,MariaDB
256,,MySQL
256,,SQLite
256,MariaDB,
256,MySQL,
256,SQLite,
262,DynamoDB,PostgreSQL
262,,SQLite
262,PostgreSQL,
262,Redis,
262,SQLite,
269,Cassandra,Microsoft SQL Server
269,Couchbase,
269,DynamoDB,
269,Elasticsearch,
269,Microsoft SQL Server,
269,PostgreSQL,
269,Redis,
284,Elasticsearch,Couchbase
284,,Elasticsearch
284,,MongoDB
284,,MySQL
284,,PostgreSQL
284,,Redis
284,MongoDB,
284,Redis,
287,Oracle,MySQL
287,,Oracle
287,,PostgreSQL
287,,SQLite
287,PostgreSQL,
303,Cassandra,Cassandra
303,,Microsoft SQL Server
303,Microsoft SQL Server,
303,MongoDB,
303,Oracle,
303,SQLite,
307,Microsoft SQL Server,Microsoft SQL Server
307,,MongoDB
307,,MySQL
307,MongoDB,
307,MySQL,
310,Cassandra,DynamoDB
310,,Firebase
310,,MariaDB
310,,Microsoft SQL Server
310,,MySQL
310,,SQLite
310,Couchbase,
310,DynamoDB,
310,Elasticsearch,
310,Firebase,
310,IBM DB2,
310,MariaDB,
310,Microsoft SQL Server,
310,MongoDB,
310,MySQL,
310,PostgreSQL,
310,Redis,
310,SQLite,
329,Microsoft SQL Server,Microsoft SQL Server
329,SQLite,
331,Microsoft SQL Server,MariaDB
331,,Microsoft SQL Server
331,,MySQL
331,,Redis
331,,SQLite
331,Redis,
331,SQLite,
363,MySQL,Microsoft SQL Server
363,,MySQL
363,,Oracle
363,,PostgreSQL
363,,Redis
363,PostgreSQL,
363,Redis,
369,Elasticsearch,Microsoft SQL Server
369,Microsoft SQL Server,
369,MongoDB,
373,Microsoft SQL Server,Microsoft SQL Server
373,MongoDB,
373,MySQL,
401,Elasticsearch,Elasticsearch
401,,MariaDB
401,,Microsoft SQL Server
401,,MySQL
401,,Redis
401,,SQLite
401,MariaDB,
401,Microsoft SQL Server,
401,MySQL,
401,Redis,
401,SQLite,
402,Elasticsearch,Elasticsearch
402,,MariaDB
402,,MySQL
402,,SQLite
402,MongoDB,
402,MySQL,
402,PostgreSQL,
412,Elasticsearch,Firebase
412,,Microsoft SQL Server
412,,MongoDB
412,,MySQL
412,,Oracle
412,,PostgreSQL
412,MongoDB,
412,PostgreSQL,
412,Redis,
413,Elasticsearch,Microsoft SQL Server
413,,Redis
413,Microsoft SQL Server,
413,MongoDB,
413,Redis,
429,Firebase,Microsoft SQL Server
429,,MySQL
429,Microsoft SQL Server,
429,MongoDB,
429,MySQL,
433,Couchbase,DynamoDB
433,,Firebase
433,,Microsoft SQL Server
433,,MongoDB
433,,MySQL
433,,Oracle
433,,SQLite
433,Elasticsearch,
433,MariaDB,
433,PostgreSQL,
444,MariaDB,Elasticsearch
444,,MongoDB
444,,PostgreSQL
444,,Redis
444,MongoDB,
444,MySQL,
444,PostgreSQL,
444,Redis,
448,Elasticsearch,Elasticsearch
448,,MySQL
448,,SQLite
448,MySQL,
448,SQLite,
456,Microsoft SQL Server,Microsoft SQL Server
456,,Oracle
456,,PostgreSQL
456,,SQLite
456,PostgreSQL,
456,SQLite,
461,MySQL,MySQL
461,PostgreSQL,
463,DynamoDB,DynamoDB
463,,Microsoft SQL Server
463,,MySQL
463,,Oracle
463,,Redis
463,,SQLite
463,MySQL,
463,Oracle,
463,Redis,
463,SQLite,
471,Elasticsearch,Elasticsearch
471,,Microsoft SQL Server
471,,Redis
471,,SQLite
471,Microsoft SQL Server,
471,Redis,
471,SQLite,
479,PostgreSQL,Firebase
479,,PostgreSQL
487,Microsoft SQL Server,Couchbase
487,,Microsoft SQL Server
487,,SQLite
487,SQLite,
520,Microsoft SQL Server,Elasticsearch
520,,Microsoft SQL Server
530,PostgreSQL,DynamoDB
530,,PostgreSQL
532,DynamoDB,Elasticsearch
532,,Microsoft SQL Server
532,,Redis
532,Elasticsearch,
532,Microsoft SQL Server,
532,Redis,
534,Elasticsearch,Elasticsearch
534,,Microsoft SQL Server
534,,MongoDB
534,,Oracle
534,MongoDB,
534,PostgreSQL,
536,Microsoft SQL Server,Microsoft SQL Server
536,,MySQL
536,,PostgreSQL
536,PostgreSQL,
537,Couchbase,Couchbase
537,,Microsoft SQL Server
537,,MongoDB
537,,MySQL
537,,PostgreSQL
538,Elasticsearch,MongoDB
538,MongoDB,
538,Redis,
542,PostgreSQL,Oracle
