,Respondent,LanguageDesireNextYear,LanguageWorkedWith
0,10,HTML/CSS,HTML/CSS
1,10,,Java
2,10,,JavaScript
3,10,,Python
4,10,,SQL
5,10,Java,
10,10,JavaScript,
15,10,Python,
20,10,R,
25,10,SQL,
30,33,HTML/CSS,HTML/CSS
31,33,,JavaScript
32,33,,TypeScript
33,33,JavaScript,
36,33,TypeScript,
39,42,Bash/Shell/PowerShell,Bash/Shell/PowerShell
40,42,,C#
41,42,,HTML/CSS
42,42,,Java
43,42,,JavaScript
44,42,,Python
45,42,C#,
51,42,Go,
57,42,Java,
63,42,Python,
69,42,Rust,
75,47,Bash/Shell/PowerShell,Bash/Shell/PowerShell
76,47,,C#
77,47,,Java
78,47,,JavaScript
79,47,,Python
80,47,,Ruby
81,47,,SQL
82,47,Java,
89,47,Python,
96,47,SQL,
103,69,Python,HTML/CSS
104,69,,Python
105,69,Rust,
107,69,Scala,
109,69,SQL,
111,80,Bash/Shell/PowerShell,Bash/Shell/PowerShell
112,80,,C#
113,80,,HTML/CSS
114,80,,JavaScript
115,80,,PHP
116,80,,Ruby
117,80,,SQL
118,80,,TypeScript
119,80,C#,
127,80,Dart,
135,80,Go,
143,80,TypeScript,
151,96,Bash/Shell/PowerShell,Bash/Shell/PowerShell
152,96,,HTML/CSS
153,96,,JavaScript
154,96,HTML/CSS,
157,96,JavaScript,
160,119,Bash/Shell/PowerShell,Bash/Shell/PowerShell
161,119,,C#
162,119,,Go
163,119,,HTML/CSS
164,119,,Java
165,119,,JavaScript
166,119,,Kotlin
167,119,,Objective-C
168,119,,Python
169,119,,SQL
170,119,,TypeScript
171,119,C#,
182,119,HTML/CSS,
193,119,Python,
204,119,Rust,
215,119,TypeScript,
226,123,C,Bash/Shell/PowerShell
227,123,,C++
228,123,,Go
229,123,,Java
230,123,,Python
231,123,C++,
236,123,Go,
241,123,Kotlin,
246,123,Rust,
251,128,C#,C#
252,128,,HTML/CSS
253,128,,JavaScript
254,128,,SQL
255,128,JavaScript,
259,131,Bash/Shell/PowerShell,Bash/Shell/PowerShell
260,131,,C#
261,131,,HTML/CSS
262,131,,Java
263,131,,JavaScript
264,131,,Rust
265,131,,SQL
266,131,,TypeScript
267,131,Julia,
275,131,Rust,
283,131,TypeScript,
291,151,HTML/CSS,HTML/CSS
292,151,,JavaScript
293,151,,PHP
294,151,,Python
295,151,,SQL
296,151,JavaScript,
301,151,PHP,
306,151,Python,
311,151,SQL,
316,158,Bash/Shell/PowerShell,Bash/Shell/PowerShell
317,158,,HTML/CSS
318,158,,JavaScript
319,158,,Python
320,158,,Ruby
321,158,,SQL
322,158,,TypeScript
323,158,Go,
330,158,HTML/CSS,
337,158,JavaScript,
344,158,Python,
351,158,Ruby,
358,158,Scala,
365,158,SQL,
372,158,TypeScript,
379,161,Assembly,Bash/Shell/PowerShell
380,161,,Go
381,161,,HTML/CSS
382,161,,Java
383,161,,JavaScript
384,161,,PHP
385,161,,Python
386,161,,SQL
387,161,,TypeScript
388,161,Bash/Shell/PowerShell,
397,161,C++,
406,161,Go,
415,161,HTML/CSS,
424,161,JavaScript,
433,161,PHP,
442,161,Python,
451,161,SQL,
460,161,TypeScript,
469,167,Bash/Shell/PowerShell,Bash/Shell/PowerShell
470,167,,HTML/CSS
471,167,,JavaScript
472,167,,PHP
473,167,,SQL
474,167,,TypeScript
475,167,Dart,
481,167,HTML/CSS,
487,167,JavaScript,
493,167,SQL,
499,167,TypeScript,
505,170,C#,C#
506,170,,HTML/CSS
507,170,,JavaScript
508,170,,PHP
509,170,,Python
510,170,,SQL
511,170,HTML/CSS,
517,170,JavaScript,
523,170,PHP,
529,170,Python,
535,170,SQL,
541,170,TypeScript,
547,179,Bash/Shell/PowerShell,Bash/Shell/PowerShell
548,179,,C#
549,179,,Go
550,179,,HTML/CSS
551,179,,JavaScript
552,179,,TypeScript
553,179,Go,
559,179,HTML/CSS,
565,179,JavaScript,
571,179,Swift,
577,179,TypeScript,
583,187,Julia,Python
584,187,,SQL
585,195,Go,Go
586,195,,Kotlin
587,195,,Python
588,195,,Swift
589,195,Kotlin,
593,195,Python,
597,195,Ruby,
601,195,Rust,
605,200,C#,C#
606,200,,C++
607,200,,HTML/CSS
608,200,,JavaScript
609,200,,Python
610,200,,SQL
611,200,C++,
617,200,Go,
623,200,HTML/CSS,
629,200,JavaScript,
635,200,Kotlin,
641,200,Objective-C,
647,200,Python,
653,200,SQL,
659,200,TypeScript,
665,205,C#,C#
666,205,,JavaScript
667,205,,SQL
668,205,,TypeScript
669,205,SQL,
673,205,TypeScript,
677,207,C++,C++
678,207,,HTML/CSS
679,207,,JavaScript
680,207,,Python
681,207,,Ruby
682,207,,SQL
683,207,,TypeScript
684,207,HTML/CSS,
691,207,JavaScript,
698,207,Ruby,
705,207,SQL,
712,214,Bash/Shell/PowerShell,Bash/Shell/PowerShell
713,214,,C#
714,214,,HTML/CSS
715,214,,JavaScript
716,214,,SQL
717,214,,VBA
718,214,C#,
724,214,JavaScript,
730,214,SQL,
736,215,C#,Bash/Shell/PowerShell
737,215,,C#
738,215,,Go
739,215,,HTML/CSS
740,215,,JavaScript
741,215,,SQL
742,215,HTML/CSS,
748,215,JavaScript,
754,215,SQL,
760,216,Go,Go
761,216,,HTML/CSS
762,216,,JavaScript
763,216,,Python
764,216,,TypeScript
765,216,HTML/CSS,
770,216,JavaScript,
775,216,Python,
780,216,SQL,
785,216,TypeScript,
790,233,C#,Bash/Shell/PowerShell
791,233,,C#
792,233,,HTML/CSS
793,233,,JavaScript
794,233,,SQL
795,233,,TypeScript
796,233,Dart,
802,233,JavaScript,
808,233,Python,
814,233,SQL,
820,233,TypeScript,
826,242,JavaScript,HTML/CSS
827,242,,JavaScript
828,242,,Ruby
829,242,Python,
832,242,Ruby,
835,255,C#,C#
836,255,,HTML/CSS
837,255,,Java
838,255,,JavaScript
839,255,,SQL
840,255,Go,
845,255,Java,
850,255,JavaScript,
855,255,SQL,
860,256,Java,C#
861,256,,C++
862,256,,HTML/CSS
863,256,,Java
864,256,,JavaScript
865,256,,PHP
866,256,,SQL
867,256,PHP,
874,256,SQL,
881,256,Swift,
888,256,TypeScript,
895,262,Bash/Shell/PowerShell,Bash/Shell/PowerShell
896,262,,HTML/CSS
897,262,,Haskell
898,262,,JavaScript
899,262,,Python
900,262,,SQL
901,262,Go,
907,262,JavaScript,
913,262,Python,
919,262,SQL,
925,269,Bash/Shell/PowerShell,Bash/Shell/PowerShell
926,269,,C#
927,269,,SQL
928,269,C#,
931,269,Go,
934,269,HTML/CSS,
937,269,JavaScript,
940,269,Python,
943,269,SQL,
946,284,Bash/Shell/PowerShell,Bash/Shell/PowerShell
947,284,,C
948,284,,HTML/CSS
949,284,,JavaScript
950,284,,Python
951,284,,TypeScript
952,284,C,
958,284,C++,
964,284,Go,
970,284,Haskell,
976,284,JavaScript,
982,284,Kotlin,
988,284,Rust,
994,284,Scala,
1000,287,Java,C
1001,287,,C#
1002,287,,C++
1003,287,,Haskell
1004,287,,Java
1005,287,,JavaScript
1006,287,,PHP
1007,287,,Ruby
1008,287,,SQL
1009,287,,TypeScript
1010,287,JavaScript,
1020,287,Scala,
1030,287,SQL,
1040,287,TypeScript,
1050,303,Java,HTML/CSS
1051,303,,JavaScript
1052,303,,Python
1053,303,,SQL
1054,303,JavaScript,
1058,303,Julia,
1062,303,Python,
1066,303,Scala,
1070,307,Bash/Shell/PowerShell,Bash/Shell/PowerShell
1071,307,,HTML/CSS
1072,307,,JavaScript
1073,307,,PHP
1074,307,,SQL
1075,307,HTML/CSS,
1080,307,JavaScript,
1085,307,SQL,
1090,310,Bash/Shell/PowerShell,Bash/Shell/PowerShell
1091,310,,C#
1092,310,,Dart
1093,310,,HTML/CSS
1094,310,,JavaScript
1095,310,,Kotlin
1096,310,,Python
1097,310,,Swift
1098,310,,TypeScript
1099,310,C,
1108,310,C#,
1117,310,HTML/CSS,
1126,310,Python,
1135,310,SQL,
1144,310,Swift,
1153,329,C#,Bash/Shell/PowerShell
1154,329,,C#
1155,329,,HTML/CSS
1156,329,,Java
1157,329,,JavaScript
1158,329,,SQL
1159,329,HTML/CSS,
1165,329,Java,
1171,329,SQL,
1177,331,Bash/Shell/PowerShell,Bash/Shell/PowerShell
1178,331,,C#
1179,331,,HTML/CSS
1180,331,,JavaScript
1181,331,,PHP
1182,331,,Perl
1183,331,,Ruby
1184,331,,SQL
1185,331,,TypeScript
1186,331,C#,
1195,331,HTML/CSS,
1204,331,JavaScript,
1213,331,SQL,
1222,331,TypeScript,
1231,363,Bash/Shell/PowerShell,Assembly
1232,363,,Bash/Shell/PowerShell
1233,363,,C
1234,363,,C++
1235,363,,Dart
1236,363,,HTML/CSS
1237,363,,Java
1238,363,,JavaScript
1239,363,,PHP
1240,363,,Perl
1241,363,,Python
1242,363,,SQL
1243,363,Go,
1255,363,Java,
1267,363,SQL,
1279,369,Bash/Shell/PowerShell,C#
1280,369,,HTML/CSS
1281,369,,JavaScript
1282,369,,SQL
1283,369,C#,
1287,369,HTML/CSS,
1291,369,Python,
1295,369,SQL,
1299,369,TypeScript,
1303,373,Bash/Shell/PowerShell,Bash/Shell/PowerShell
1304,373,,C#
1305,373,C#,
1307,373,Go,
1309,373,Python,
1311,401,HTML/CSS,Go
1312,401,,HTML/CSS
1313,401,,Java
1314,401,,JavaScript
1315,401,,PHP
1316,401,,Python
1317,401,,Ruby
1318,401,,SQL
1319,401,Java,
1327,401,JavaScript,
1335,401,PHP,
1343,401,Python,
1351,401,Ruby,
1359,401,SQL,
1367,402,HTML/CSS,Bash/Shell/PowerShell
1368,402,,C
1369,402,,C#
1370,402,,C++
1371,402,,HTML/CSS
1372,402,,Java
1373,402,,JavaScript
1374,402,,Objective-C
1375,402,,PHP
1376,402,,Python
1377,402,,SQL
1378,402,,VBA
1379,402,Java,
1391,402,JavaScript,
1403,402,PHP,
1415,402,SQL,
1427,402,TypeScript,
1439,402,VBA,
1451,412,HTML/CSS,C
1452,412,,C#
1453,412,,HTML/CSS
1454,412,,Java
1455,412,,JavaScript
1456,412,,Kotlin
1457,412,,Python
1458,412,,SQL
1459,412,Java,
1467,412,JavaScript,
1475,412,SQL,
1483,412,TypeScript,
1491,413,Bash/Shell/PowerShell,Bash/Shell/PowerShell
1492,413,,C#
1493,413,,HTML/CSS
1494,413,,JavaScript
1495,413,,SQL
1496,413,C#,
1501,413,Go,
1506,413,HTML/CSS,
1511,413,JavaScript,
1516,413,SQL,
1521,413,TypeScript,
1526,429,C#,C#
1527,429,,HTML/CSS
1528,429,,JavaScript
1529,429,,PHP
1530,429,,SQL
1531,429,HTML/CSS,
1536,429,JavaScript,
1541,429,PHP,
1546,429,SQL,
1551,429,TypeScript,
1556,433,Go,Bash/Shell/PowerShell
1557,433,,C
1558,433,,C#
1559,433,,C++
1560,433,,Dart
1561,433,,HTML/CSS
1562,433,,Java
1563,433,,JavaScript
1564,433,,Objective-C
1565,433,,PHP
1566,433,,Python
1567,433,,SQL
1568,433,,Swift
1569,433,Kotlin,
1582,444,C,Bash/Shell/PowerShell
1583,444,,Go
1584,444,,HTML/CSS
1585,444,,JavaScript
1586,444,,Python
1587,444,,Rust
1588,444,,SQL
1589,444,C++,
1596,444,Go,
1603,444,Python,
1610,444,Rust,
1617,444,SQL,
1624,448,Bash/Shell/PowerShell,Bash/Shell/PowerShell
1625,448,,C++
1626,448,,JavaScript
1627,448,,Python
1628,448,,TypeScript
1629,448,C++,
1634,448,JavaScript,
1639,448,Python,
1644,448,TypeScript,
1649,456,C#,C#
1650,456,,HTML/CSS
1651,456,,JavaScript
1652,456,,Kotlin
1653,456,,Python
1654,456,,Ruby
1655,456,,SQL
1656,456,HTML/CSS,
1663,456,Kotlin,
1670,456,Python,
1677,456,Ruby,
1684,456,SQL,
1691,456,TypeScript,
1698,461,C#,HTML/CSS
1699,461,,JavaScript
1700,461,,TypeScript
1701,461,TypeScript,
1704,463,Bash/Shell/PowerShell,Bash/Shell/PowerShell
1705,463,,HTML/CSS
1706,463,,JavaScript
1707,463,,PHP
1708,463,,Python
1709,463,,SQL
1710,463,,Scala
1711,463,HTML/CSS,
1718,463,JavaScript,
1725,463,Kotlin,
1732,463,PHP,
1739,463,Python,
1746,463,SQL,
1753,471,C#,C#
1754,471,,HTML/CSS
1755,471,,Java
1756,471,,JavaScript
1757,471,,Python
1758,471,,SQL
1759,471,,TypeScript
1760,471,HTML/CSS,
1767,471,JavaScript,
1774,471,Python,
1781,471,SQL,
1788,471,TypeScript,
1795,479,Go,HTML/CSS
1796,479,,JavaScript
1797,479,,Ruby
1798,479,,SQL
1799,479,Ruby,
1803,479,SQL,
1807,487,C#,C#
1808,487,,HTML/CSS
1809,487,,JavaScript
1810,487,,SQL
1811,487,,TypeScript
1812,487,,VBA
1813,487,HTML/CSS,
1819,487,JavaScript,
1825,487,Python,
1831,487,SQL,
1837,487,TypeScript,
1843,520,C#,C#
1844,520,,HTML/CSS
1845,520,,JavaScript
1846,520,,SQL
1847,520,,TypeScript
1848,520,HTML/CSS,
1853,520,SQL,
1858,520,TypeScript,
1863,530,Scala,HTML/CSS
1864,530,,JavaScript
1865,530,,TypeScript
1866,530,Swift,
1869,530,TypeScript,
1872,532,Bash/Shell/PowerShell,Bash/Shell/PowerShell
1873,532,,C#
1874,532,,HTML/CSS
1875,532,,JavaScript
1876,532,,SQL
1877,532,,TypeScript
1878,532,C#,
1884,532,HTML/CSS,
1890,532,Java,
1896,532,JavaScript,
1902,532,Scala,
1908,532,SQL,
1914,532,TypeScript,
1920,534,Go,C#
1921,534,,Go
1922,534,,HTML/CSS
1923,534,,JavaScript
1924,534,,Ruby
1925,534,,SQL
1926,534,,TypeScript
1927,534,Python,
1934,534,Ruby,
1941,534,Rust,
1948,534,TypeScript,
1955,536,C#,C#
1956,536,,HTML/CSS
1957,536,,SQL
1958,536,HTML/CSS,
1961,536,SQL,
1964,537,Bash/Shell/PowerShell,Bash/Shell/PowerShell
1965,537,,C#
1966,537,,HTML/CSS
1967,537,,Java
1968,537,,JavaScript
1969,537,,PHP
1970,537,,SQL
1971,537,,VBA
1972,537,C#,
1980,537,PHP,
1988,537,SQL,
1996,538,C#,C#
1997,538,,JavaScript
1998,538,,TypeScript
1999,538,JavaScript,
2002,538,TypeScript,
2005,542,Bash/Shell/PowerShell,Bash/Shell/PowerShell
2006,542,,Go
2007,542,,HTML/CSS
2008,542,,Java
2009,542,,SQL
2010,542,Go,
2015,542,HTML/CSS,
2020,542,Python,
2025,542,R,
2030,542,Rust,
2035,542,SQL,
2040,544,C#,C#
2041,544,,Go
2042,544,,JavaScript
2043,544,,Python
2044,544,,SQL
2045,544,,TypeScript
2046,544,Go,
2052,544,JavaScript,
2058,544,Python,
2064,544,SQL,
2070,544,TypeScript,
2076,557,Go,Bash/Shell/PowerShell
2077,557,,HTML/CSS
2078,557,,JavaScript
2079,557,,Objective-C
2080,557,,Python
2081,557,,Ruby
2082,557,,SQL
2083,557,,TypeScript
2084,557,Python,
2092,557,Rust,
2100,557,TypeScript,
2108,559,Java,Java
2109,559,,Python
2110,559,,Scala
2111,559,Kotlin,
2114,559,Python,
2117,559,Rust,
2120,560,Bash/Shell/PowerShell,Bash/Shell/PowerShell
2121,560,,C#
2122,560,,HTML/CSS
2123,560,,JavaScript
2124,560,,SQL
2125,560,C#,
2130,560,HTML/CSS,
2135,560,JavaScript,
2140,560,SQL,
2145,562,Python,C#
2146,562,,HTML/CSS
2147,562,,JavaScript
2148,562,,Ruby
2149,562,,SQL
2150,562,,TypeScript
2151,562,Swift,
2157,571,Bash/Shell/PowerShell,Bash/Shell/PowerShell
2158,571,,C#
2159,571,,Dart
2160,571,,HTML/CSS
2161,571,,Java
2162,571,,JavaScript
2163,571,,PHP
2164,571,,Ruby
2165,571,,SQL
2166,571,,TypeScript
2167,571,C#,
2177,571,HTML/CSS,
2187,571,JavaScript,
2197,571,SQL,
2207,571,TypeScript,
2217,576,TypeScript,JavaScript
2218,576,,PHP
2219,576,,TypeScript
2220,584,C#,C#
2221,584,,HTML/CSS
2222,584,,JavaScript
2223,584,,SQL
2224,584,,TypeScript
2225,584,HTML/CSS,
2230,584,JavaScript,
2235,584,Python,
2240,584,SQL,
2245,584,TypeScript,
2250,590,Bash/Shell/PowerShell,Bash/Shell/PowerShell
2251,590,,C#
2252,590,,HTML/CSS
2253,590,,JavaScript
2254,590,,SQL
2255,590,C#,
2260,590,HTML/CSS,
2265,590,SQL,
2270,590,TypeScript,
2275,593,C#,C#
2276,593,,HTML/CSS
2277,593,,JavaScript
2278,593,,SQL
2279,593,HTML/CSS,
2283,593,JavaScript,
2287,593,SQL,
2291,595,Bash/Shell/PowerShell,Bash/Shell/PowerShell
2292,595,,HTML/CSS
2293,595,,Java
2294,595,,JavaScript
2295,595,,Python
2296,595,,SQL
2297,595,,TypeScript
2298,595,HTML/CSS,
2305,595,Java,
2312,595,JavaScript,
2319,595,Python,
2326,595,SQL,
2333,595,TypeScript,
2340,624,HTML/CSS,HTML/CSS
2341,624,,JavaScript
2342,624,,TypeScript
2343,624,JavaScript,
2346,624,TypeScript,
2349,641,HTML/CSS,HTML/CSS
2350,641,,Java
2351,641,,JavaScript
2352,641,,Kotlin
2353,641,Java,
2357,641,JavaScript,
2361,641,Kotlin,
2365,641,Python,
2369,641,Swift,
2373,678,Bash/Shell/PowerShell,Bash/Shell/PowerShell
2374,678,,C#
2375,678,,Go
2376,678,,HTML/CSS
2377,678,,Java
2378,678,,JavaScript
2379,678,,Kotlin
2380,678,,Python
2381,678,,SQL
2382,678,C#,
2391,678,Go,
2400,678,HTML/CSS,
2409,687,C,C
2410,687,,HTML/CSS
2411,687,,JavaScript
2412,687,,Python
2413,687,C++,
2417,687,Go,
2421,687,JavaScript,
2425,687,Python,
2429,687,Rust,
2433,687,SQL,
2437,687,TypeScript,
2441,696,Kotlin,C#
2442,696,,HTML/CSS
2443,696,,Java
2444,696,,JavaScript
2445,696,,PHP
2446,696,,SQL
2447,696,Objective-C,
2453,697,C++,C++
2454,697,,HTML/CSS
2455,697,,JavaScript
2456,697,,TypeScript
2457,697,HTML/CSS,
2461,697,JavaScript,
2465,697,TypeScript,
2469,710,Bash/Shell/PowerShell,Bash/Shell/PowerShell
2470,710,,Python
