,Respondent,PlatformDesireNextYear,PlatformWorkedWith
0,10,Android,Android
1,10,,Linux
2,10,,Raspberry Pi
3,10,,Windows
4,10,Linux,
8,10,Raspberry Pi,
12,10,Windows,
16,33,Docker,AWS
17,33,,Docker
18,33,,Google Cloud Platform
19,33,,Heroku
20,33,,Kubernetes
21,33,,MacOS
22,33,,Raspberry Pi
23,33,,iOS
24,33,Google Cloud Platform,
32,33,iOS,
40,33,Kubernetes,
48,33,MacOS,
56,42,Android,AWS
57,42,,Docker
58,42,,Linux
59,42,,MacOS
60,42,,Raspberry Pi
61,42,,Slack Apps and Integrations
62,42,,Windows
63,42,AWS,
70,42,Docker,
77,42,Kubernetes,
84,42,Raspberry Pi,
91,47,Arduino,AWS
92,47,,Arduino
93,47,,Linux
94,47,,Microsoft Azure
95,47,,Raspberry Pi
96,47,Docker,
101,47,Linux,
106,47,Raspberry Pi,
111,69,Kubernetes,Linux
112,69,,Microsoft Azure
113,69,Linux,
115,80,Docker,Docker
116,80,,Linux
117,80,,Microsoft Azure
118,80,,Windows
119,80,Kubernetes,
123,80,Linux,
127,80,Microsoft Azure,
131,80,Windows,
135,96,Docker,Docker
136,96,,Kubernetes
137,96,,Linux
138,96,,MacOS
139,96,Kubernetes,
143,96,Linux,
147,96,MacOS,
151,119,Docker,AWS
152,119,,Android
153,119,,Docker
154,119,,Kubernetes
155,119,,Linux
156,119,,MacOS
157,119,,Microsoft Azure
158,119,,Windows
159,119,,iOS
160,119,Kubernetes,
169,119,Linux,
178,119,MacOS,
187,119,Microsoft Azure,
196,119,Windows,
205,123,Android,AWS
206,123,,Docker
207,123,,Linux
208,123,,Raspberry Pi
209,123,Arduino,
213,123,AWS,
217,123,Docker,
221,123,Google Cloud Platform,
225,123,Kubernetes,
229,123,Linux,
233,123,Microsoft Azure,
237,123,Raspberry Pi,
241,128,Android,Microsoft Azure
242,128,,Windows
243,128,Docker,
245,131,Arduino,AWS
246,131,,Docker
247,131,,Linux
248,131,,Raspberry Pi
249,131,,Windows
250,131,AWS,
255,131,Docker,
260,131,Raspberry Pi,
265,131,Windows,
270,151,Arduino,Arduino
271,151,,Linux
272,151,,Raspberry Pi
273,151,,WordPress
274,151,Docker,
278,151,Linux,
