,Respondent,WebframeDesireNextYear,WebframeWorkedWith
0,10,Flask,Flask
1,10,,jQuery
2,10,jQuery,
4,33,Express,Angular
5,33,,Angular.js
6,33,,Django
7,33,,Express
8,33,,React.js
9,33,Gatsby,
14,33,React.js,
19,33,Ruby on Rails,
24,42,ASP.NET Core,ASP.NET
25,42,,Flask
26,42,,React.js
27,42,,Spring
28,42,Spring,
32,47,Flask,Flask
33,47,,Spring
34,47,Spring,
36,69,Django,Django
37,69,,Flask
38,69,Flask,
40,80,Angular,ASP.NET
41,80,,ASP.NET Core
42,80,,Angular
43,80,ASP.NET Core,
46,96,Gatsby,Gatsby
47,96,,React.js
48,96,React.js,
50,119,ASP.NET Core,ASP.NET Core
51,119,,React.js
52,119,Gatsby,
54,119,React.js,
56,123,Flask,Spring
57,123,jQuery,
58,123,React.js,
59,128,ASP.NET Core,ASP.NET Core
60,128,,Angular.js
61,128,,React.js
62,128,React.js,
65,128,Vue.js,
68,131,React.js,Vue.js
69,131,Vue.js,
70,151,Angular.js,Laravel
71,151,,Vue.js
72,151,,jQuery
73,151,Django,
76,151,Flask,
79,151,Laravel,
82,151,React.js,
85,151,Vue.js,
88,158,Gatsby,React.js
89,158,,Ruby on Rails
90,158,React.js,
92,158,Ruby on Rails,
94,158,Vue.js,
96,161,jQuery,Angular
97,161,,Django
98,161,,React.js
99,161,,jQuery
100,161,React.js,
104,167,Angular,Angular
105,167,,Angular.js
106,167,,Laravel
107,167,,jQuery
108,167,Laravel,
112,170,Django,Django
113,170,,Express
114,170,,Flask
115,170,,React.js
116,170,,jQuery
117,170,Express,
122,170,Flask,
127,170,jQuery,
132,170,Laravel,
137,170,React.js,
142,179,Angular,ASP.NET
143,179,,ASP.NET Core
144,179,,Angular
145,179,,Angular.js
146,179,,Express
147,179,,Gatsby
148,179,,React.js
149,179,,jQuery
150,179,Express,
158,179,Gatsby,
166,179,React.js,
174,179,Vue.js,
182,187,Django,Django
183,187,,Flask
184,187,Flask,
186,195,Angular,Ruby on Rails
187,195,,Vue.js
188,195,Django,
190,195,Ruby on Rails,
192,195,Vue.js,
194,200,ASP.NET Core,ASP.NET
195,205,ASP.NET Core,ASP.NET
196,205,,ASP.NET Core
197,205,,React.js
198,205,React.js,
201,207,Ruby on Rails,Ruby on Rails
202,207,,Vue.js
203,207,,jQuery
204,207,Vue.js,
207,214,ASP.NET Core,ASP.NET
208,214,,ASP.NET Core
209,214,,Vue.js
210,214,,jQuery
211,214,Vue.js,
215,215,Angular,Angular
216,215,,Angular.js
217,215,,React.js
218,215,Angular.js,
221,215,React.js,
224,216,React.js,Angular
225,216,,Angular.js
226,216,,Express
227,216,,Flask
228,216,,Vue.js
229,216,Vue.js,
234,233,Angular,ASP.NET
235,233,,ASP.NET Core
236,233,,Angular
237,233,,Angular.js
238,233,,Express
239,233,,React.js
240,233,,jQuery
241,233,ASP.NET,
248,233,ASP.NET Core,
255,233,Express,
262,233,jQuery,
269,233,React.js,
276,233,Vue.js,
283,242,Gatsby,React.js
284,242,,Ruby on Rails
285,242,Ruby on Rails,
287,242,Vue.js,
289,255,Angular.js,ASP.NET Core
290,255,,Angular.js
291,255,,Spring
292,255,,Vue.js
293,255,ASP.NET Core,
297,255,React.js,
301,255,Spring,
305,255,Vue.js,
309,256,Angular,Angular
310,256,,Spring
311,256,,Symfony
312,256,,jQuery
313,256,Symfony,
317,256,Vue.js,
321,262,Django,Django
322,262,React.js,
323,262,Vue.js,
324,269,ASP.NET,ASP.NET
325,269,ASP.NET Core,
326,269,React.js,
327,284,Angular,Angular.js
328,284,,Express
329,284,,React.js
330,284,Express,
333,284,Gatsby,
336,284,React.js,
339,284,Vue.js,
342,287,Angular,Angular
343,287,,Angular.js
344,287,,Spring
345,287,,jQuery
346,287,Spring,
350,303,Django,Flask
351,303,Flask,
352,307,Angular,Angular
353,307,,Express
354,307,,Laravel
355,307,,Vue.js
356,307,Express,
360,307,Laravel,
364,307,Vue.js,
368,310,Angular,ASP.NET Core
369,310,,Express
370,310,ASP.NET Core,
372,310,Django,
374,310,Express,
376,310,Vue.js,
378,329,ASP.NET Core,ASP.NET
379,329,,ASP.NET Core
380,329,,jQuery
381,329,jQuery,
384,331,Angular,ASP.NET
385,331,,ASP.NET Core
386,331,,Angular
387,331,,Angular.js
388,331,,React.js
389,331,,Ruby on Rails
390,331,,jQuery
391,331,Angular.js,
398,331,ASP.NET,
405,331,ASP.NET Core,
412,331,jQuery,
419,331,React.js,
